genre	key	timesignature	tempo	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47
Pop_Rock	2	4	193.693	41.326	38.76	48.075	42.813	43.623	34.271	37.332	36.064	40.492	43.909	32.29	30.757	38.015	44.48	25.246	57.616	30.236	36.309	8.072	28.539	52.629	9.475	16.983	20.375	26.949	15.335	39.392	48.143	5.451	13.687	30.221	13.031	11.646	20.127	16.009	21.478	30.942	20.091	20.819	27.821	28.323	27.351	25.323	11.617	31.337	52.12	21.804	20.472
Pop_Rock	7	4	130.284	36.828	4.901	25.495	22.486	-5.779	16.58	25.956	-0.57	-0.923	-1.347	-26.428	-15.357	-33.211	-18.755	-69.546	-52.25	-34.191	24.891	33.114	40.701	21.55	-8.258	-13.07	-28.871	-5.476	-30.64	13.329	56.554	-13.573	-8.614	52.887	9.531	-14.576	35.312	24.463	-38.986	-19.545	-18.11	1.434	14.926	10.513	6.763	8.938	15.416	9.903	26.642	9.195	24.62
Pop_Rock	4	4	75.031	21.533	55.313	81.37	103.688	31.596	26.842	4.053	35.362	14.28	15.212	37.841	14.656	48.288	40.174	17.766	42.607	97.898	50.115	36.83	36.091	73.21	37.649	-4.65	34.782	25.745	21.03	27.095	31.845	19.548	72.383	7.218	139.008	203.493	173.73	21.539	59.632	52.188	47.469	20.311	46.063	62.547	76.128	43.333	66.119	53.725	50.044	33.185	20.618
Pop_Rock	7	4	150.837	78.364	183.164	63.642	20.126	57.643	75.506	64.735	93.404	84.232	50.804	39.893	79.338	30.929	62.402	56.163	63.966	53.247	77.31	66.467	79.246	36.024	91.243	54.43	69.504	60.451	83.576	57.805	62.694	82.306	80.113	92.01	114.225	61.869	76.189	53.617	89.181	77.625	41.106	77.047	58.439	50.993	94.3	35.956	79.558	126.906	96.729	72.462	44.029
Pop_Rock	2	4	153.862	16.515	-36.032	31.558	20.382	39.647	11.716	14.766	-41.268	-39.394	14.953	4.264	-21.533	-14.693	14.508	-21.7	39.879	-15.482	61.374	54.63	50.935	-18.52	0.549	42.008	2.695	39.184	-13.107	23.556	-14.318	27.401	0.837	21.239	-28.089	14.509	39.853	32.05	33.832	4.579	11.486	23.449	-4.738	20.496	-13.497	67.516	2.2	44.596	68.104	32.218	28.557
Rap	6	4	155.038	45.592	48.104	22.275	-11.3	12.504	20.533	7.868	8.708	56.501	-145.645	1.723	-30.372	-12.66	-11.907	27.829	-48.108	-72.597	1.528	47.144	4.713	-0.071	-9.888	-11.47	32.872	-23.338	58.623	77.642	68.759	-7.046	29.305	56.318	-30.106	-15.596	24.088	16.27	31.554	25.815	-2.184	-76.403	-13.079	55.294	7.458	87.353	-23.35	-4.164	40.846	-15.935	-33.631
Electronic	0	4	125.975	61.015	47.498	54.446	0.816	9.628	57.434	54.954	65.818	79.799	58.237	70.964	91.156	50.08	79.31	69.024	55.817	78.26	14.58	1.82	-1.278	17.693	71.486	-7.169	15.914	41.19	30.554	51.648	29.22	36.161	98.178	73.565	45.594	59.881	81.17	72.545	59.885	65.414	11.357	25.295	70.945	62.76	60.99	49.72	62.951	83.315	60.708	75.945	85.121
Pop_Rock	9	4	124.237	73.507	149.666	148.716	108.29	78.363	69.749	58.299	75.435	67.587	47.232	70.327	88.614	98.475	68.678	19.793	96.709	65.685	55.309	45.223	61.913	55.527	73.736	176.936	157.346	95.167	74.424	90.406	101.588	104.153	101.244	74.777	89.648	63.38	50.71	60.522	58.253	77.236	64.103	79.278	65.513	60.43	48.381	59.936	53.5	76.575	80.688	75.07	88.244
Pop_Rock	9	1	140.63	23.634	45.995	29.003	38.202	20.211	6.571	41.464	20.654	48.101	47.433	25.633	31.68	30.812	25.654	16.941	39.571	42.865	16.163	15.75	26.185	13.425	25.019	15.176	30.1	1.08	19.517	-2.253	28.049	24.104	23.359	19.458	22.114	17.219	10.023	5.614	7.076	36.134	9.273	8.899	-1.066	20.0	6.553	24.619	28.442	44.658	8.404	31.074	12.758
Pop_Rock	4	4	186.254	93.41	72.561	61.665	41.735	33.852	73.284	76.419	46.002	11.715	7.09	-17.979	-19.787	-25.351	1.176	-43.787	0.789	-63.739	-48.673	-53.889	-8.724	-52.437	30.204	56.924	36.108	44.768	13.774	17.831	48.687	91.384	114.545	86.507	53.257	66.648	71.482	54.414	96.532	85.1	52.261	27.533	54.331	69.184	37.123	32.824	27.102	36.897	57.216	49.63	37.762
Pop_Rock	7	4	94.057	-25.678	54.909	1.264	32.572	50.509	148.9	47.394	-49.603	10.985	44.985	45.634	20.651	65.282	5.486	3.377	-12.263	32.574	71.074	18.471	-15.275	1.979	8.529	47.393	7.566	18.474	36.073	24.275	38.079	12.844	26.473	29.74	65.123	90.978	26.51	26.731	64.179	72.952	25.364	16.866	10.17	34.161	30.744	20.01	27.147	26.438	52.3	34.591	20.03
Pop_Rock	2	1	106.698	70.49	48.748	38.66	83.576	88.553	43.255	35.528	56.545	102.353	85.627	108.952	55.574	33.5	-4.304	39.851	18.707	19.464	46.036	9.962	33.614	48.978	39.151	62.419	117.486	29.293	76.99	81.28	31.818	56.177	57.927	14.013	34.173	37.923	10.324	51.562	23.994	-5.395	37.02	-13.617	57.759	46.768	22.335	40.942	18.608	34.323	21.733	67.052	55.733
Pop_Rock	2	4	89.78	31.281	54.34	18.129	35.326	26.365	29.139	25.977	35.361	24.924	19.937	30.909	19.145	26.008	22.202	88.098	87.366	62.248	95.775	47.33	99.842	78.307	51.479	24.27	85.192	44.48	34.698	28.613	33.567	39.685	29.962	52.425	67.527	37.66	75.165	55.148	62.747	117.756	85.564	45.916	41.065	23.325	43.255	33.403	-42.436	36.87	11.509	4.607	-50.256
Pop_Rock	9	7	107.177	154.095	-0.618	63.699	-30.614	56.574	8.263	1.057	-11.641	11.765	-16.665	-26.088	-14.592	-2.754	-6.106	34.261	77.871	-22.515	97.511	-3.375	-56.474	-20.604	79.305	-33.975	43.802	-3.701	93.955	65.063	-26.696	51.808	37.39	-0.888	-5.962	18.449	146.901	28.338	81.603	84.829	34.476	53.497	79.209	36.924	21.31	20.394	8.552	30.623	-11.853	114.085	-62.236
Pop_Rock	10	3	160.022	19.142	11.981	67.17	23.252	-10.771	-9.337	3.892	38.045	-2.024	27.508	6.081	14.003	4.446	16.861	21.666	-0.357	24.064	26.818	48.948	33.867	45.589	54.825	45.154	44.463	41.654	39.945	39.246	51.335	51.418	48.895	51.14	48.541	34.101	53.859	28.674	49.763	48.322	41.968	45.265	41.505	49.221	50.87	44.824	43.328	41.491	50.389	34.49	38.889
Pop_Rock	1	4	120.097	15.947	68.305	84.007	45.813	46.211	78.809	64.629	57.067	47.514	46.621	53.985	67.644	73.003	59.534	78.561	78.228	59.836	36.758	82.769	72.679	60.218	61.407	52.669	40.341	69.767	34.536	48.055	76.315	68.017	59.744	63.405	57.917	96.405	81.757	75.46	67.415	60.209	32.984	57.428	59.062	58.774	67.569	67.857	69.256	77.055	63.582	35.823	63.875
Rap	8	4	88.835	-14.521	-22.251	-25.184	60.676	36.445	-10.973	-58.309	-33.13	36.71	-62.148	-44.382	51.905	49.409	32.931	-9.212	-46.425	51.699	30.019	-56.128	23.709	20.067	0.842	-78.157	-7.76	-69.31	103.384	-54.826	85.778	52.867	35.186	41.704	-5.109	3.011	-10.321	35.873	53.255	4.243	81.73	49.549	18.601	84.05	43.632	-20.516	9.039	-19.325	27.32	39.018	-0.217
Pop_Rock	10	4	108.264	76.848	55.915	51.004	26.943	76.495	53.479	21.908	28.918	82.144	67.121	27.618	-4.111	64.76	49.382	33.717	81.311	75.825	68.991	91.986	69.102	47.743	29.788	55.215	56.09	53.771	89.367	49.35	66.283	56.455	85.983	39.749	34.91	63.401	35.537	59.491	40.583	33.123	20.691	60.936	35.017	22.747	14.575	23.52	66.457	72.781	55.253	79.282	46.287
Pop_Rock	7	4	91.328	-17.537	-48.131	-12.379	-37.74	-5.477	-42.838	-14.039	-53.587	-53.994	-22.953	-51.631	-60.399	-20.072	-49.136	-58.524	-16.769	-11.594	25.465	18.065	-4.496	5.402	6.518	11.775	20.527	-27.972	-80.05	-76.466	5.148	-74.655	-74.412	-45.016	-81.344	22.864	-4.765	-34.73	-69.863	-134.364	-37.392	20.042	32.569	-7.845	-3.278	4.998	-13.011	-68.931	-96.891	-57.776	2.154
Pop_Rock	8	4	130.062	25.3	27.804	33.831	117.731	72.3	66.86	48.329	27.998	13.113	44.347	91.043	24.182	17.204	41.247	44.249	-3.467	5.42	46.995	78.777	45.352	-16.355	60.878	48.487	44.557	94.902	108.814	12.765	7.052	27.064	32.977	41.198	65.549	6.865	51.54	86.615	42.13	58.149	98.265	56.594	13.703	12.738	25.79	49.862	92.568	42.18	7.473	73.092	62.771
Pop_Rock	3	4	162.682	20.129	-38.485	24.782	-32.306	47.467	-35.671	22.542	-33.832	-8.033	10.303	-4.655	11.731	-44.178	8.769	7.17	24.67	-41.497	4.456	-9.362	-5.928	-14.777	6.246	21.412	26.747	-32.022	21.478	-47.56	24.194	-26.383	7.811	-2.983	8.603	-50.529	-12.156	-4.206	23.774	-41.023	-26.19	3.316	19.488	-5.432	-1.952	4.158	-29.591	-3.897	31.005	-29.837	28.296
Pop_Rock	9	1	98.49	65.638	90.765	36.555	29.247	17.925	-30.051	-30.343	-36.847	12.257	117.235	3.586	-42.7	-8.275	-13.563	-19.76	-41.449	-32.167	-7.182	63.877	-9.617	-46.654	53.057	57.417	41.977	102.666	-14.029	25.09	58.274	-1.894	-27.548	4.706	-4.55	-17.852	-17.264	17.889	-5.132	-17.174	-2.18	-8.168	68.609	68.282	41.194	58.751	36.435	6.739	-20.837	-3.116	41.312
Pop_Rock	7	4	196.034	45.858	1.003	44.559	61.317	19.893	37.256	31.744	23.779	58.214	36.088	51.126	66.429	25.033	16.723	45.84	25.549	28.195	54.691	63.198	61.073	67.216	-35.86	54.588	46.135	52.12	19.767	39.568	6.562	19.945	62.811	23.098	30.66	32.446	50.096	78.19	26.753	54.65	35.053	75.719	69.339	50.641	44.676	37.418	28.692	22.911	34.357	31.948	60.072
Pop_Rock	8	4	210.871	87.186	35.619	72.495	43.358	26.751	66.008	57.691	22.874	4.328	26.529	59.267	83.024	67.918	42.794	4.91	15.962	2.455	90.629	123.298	53.861	36.01	34.899	25.257	86.033	59.386	77.734	50.4	50.331	112.115	6.516	17.242	39.141	69.496	65.685	39.96	58.869	55.001	52.496	20.81	46.071	82.86	100.289	99.708	-6.461	-12.972	15.502	62.726	65.67
Pop_Rock	0	4	112.787	41.839	27.988	71.257	41.245	69.649	15.403	8.399	34.771	22.12	41.211	35.414	57.329	15.468	26.79	15.497	31.911	43.459	32.53	39.746	76.832	2.838	11.597	48.378	34.528	23.542	39.708	34.596	20.169	38.623	14.154	35.198	16.969	18.379	6.669	37.997	4.324	26.309	-5.018	26.176	28.37	80.561	47.581	40.05	6.693	13.942	31.021	1.775	47.15
Pop_Rock	8	4	130.006	24.522	45.536	-7.026	-2.987	40.919	30.476	62.25	22.533	4.72	21.463	82.924	-26.389	19.953	45.776	-28.237	1.42	33.692	15.17	68.332	20.525	-5.368	79.471	-13.208	23.091	46.947	-16.881	-33.909	31.166	14.133	54.465	-0.789	-22.037	75.661	-7.728	26.152	45.308	-31.08	-19.765	37.361	14.464	52.554	-15.348	-14.875	96.888	-19.216	30.711	48.333	-11.159
Pop_Rock	11	3	186.882	-161.088	-143.818	-161.755	-135.528	-140.805	-132.441	-155.613	-165.077	-189.305	-155.301	-189.122	-163.984	-165.491	-149.207	-160.433	-196.761	-185.288	-184.417	-172.132	-176.313	-174.914	-142.431	-165.704	-181.238	-163.691	-185.921	-135.265	-172.014	-161.54	-137.274	-170.769	-195.189	-208.962	-192.805	-228.472	-261.627	-225.028	-201.342	-212.505	-189.08	-220.222	-211.412	-190.69	-198.838	-212.439	-189.683	-215.422	-224.791
Pop_Rock	4	1	90.199	44.503	51.841	65.057	37.355	56.83	39.706	10.886	39.082	11.736	-20.113	35.4	11.502	12.884	-6.403	89.451	74.493	50.24	-20.476	26.344	32.59	14.547	34.89	-36.042	25.69	39.971	-23.932	30.258	40.65	21.28	19.842	-38.065	0.715	108.226	58.168	35.062	52.542	43.585	66.224	60.64	69.134	66.081	40.479	54.701	67.177	63.677	65.448	61.755	54.724
Pop_Rock	0	4	136.948	32.19	11.312	48.05	23.089	49.602	49.746	15.841	72.535	26.114	10.042	17.489	29.926	22.203	33.046	12.074	25.051	45.267	29.603	51.079	55.431	53.863	67.998	65.869	59.601	68.958	65.985	59.661	59.598	74.229	57.34	70.275	66.85	66.199	78.712	76.322	58.936	63.599	89.468	32.381	22.256	70.686	20.168	22.299	22.798	13.888	80.547	42.854	62.338
Jazz	9	3	76.296	-2.64	-55.341	-10.895	28.069	-60.75	-41.958	-32.08	-45.367	-99.339	-86.088	-73.649	-35.471	-81.285	-98.072	-59.888	-63.028	-41.367	-30.254	0.25	96.33	58.333	-79.934	-63.352	-69.364	-73.385	-134.466	-51.799	-110.64	-96.366	-122.578	-111.277	-79.957	-68.576	-140.895	-46.827	-66.451	-69.16	-111.613	-80.935	-98.012	-82.249	-98.88	-30.36	-80.467	-79.19	-100.045	-78.38	-66.261
